Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k405;cp_k406;cp_distancia_1;cp_distancia_2;cp_k408;cp_k409ha;cp_k410ha;cp_k411ha;cp_k412;cp_k416;cp_k417;cp_k418;cp_k420;cp_afecta_prod;cp_k422;cp_k423;cp_k424;cp_k426;cp_venmernac;cp_venmerint;cp_vencenacop;cp_rdproven1;cp_rdproven2;cp_rdproven3;cp_rdproven4;cp_rdproven5;cp_rdproven6;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;cp_nclavr;cp_trs;cp_trc;cp_tro;cp_znd;cp_tn;cp_prod;ventas;superdida;cp_sequia;cp_helada;cp_plagas;cp_enfermedades;cp_inundacion;cp_otra;cp_edad;edad1;edad2;edad3;cp_vcomún;cp_vmejorada;cp_vhibrinacio;cp_vhibrinterna;cp_sriego;cp_sufertilizantes;cp_sufitosanitario;nuevacondicion;fact_exp_fin
08016302032960005;ESMERALDAS;02;03296;0005;1;PLÁTANO;1;1; ;10;3;3;1;,25;,25;,25; ;277;RACIMO;15;FRUTA FRESCA;2;200;RACIMO;15;FRUTA FRESCA;100; ;2;57; ;20; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;1,88863636363636;1,36363636363636; ; ; ; ; ; ; ;10; ;,25; ;,25; ; ; ; ; ; ;SOLO;59,8938296436883
08016302032960005;ESMERALDAS;02;03296;0005;2;PLÁTANO;2;1; ;10;3;3;1;,5;,5;,5; ;555;RACIMO;15;FRUTA FRESCA;2;355;RACIMO;15;FRUTA FRESCA;100; ;2;100; ;100; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3,78409090909091;2,42045454545455; ; ; ; ; ; ; ;10; ;,5; ;,5; ; ; ; ; ; ;SOLO;31,1426889547041
08075402034200001;ESMERALDAS;02;03420;0001;4;PLÁTANO;3;2;1;7;7;7;1;3;3;1,5;6;184;RACIMO;35;FRUTA FRESCA;5;184;RACIMO;35;FRUTA FRESCA;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;2,92727272727273;2,92727272727273;1,5; ; ; ; ; ;1,5;7;3; ; ;3; ; ; ; ; ; ;ASOCIADO;55,0559815493887
08065402038240003;ESMERALDAS;02;03824;0003;1;PLÁTANO;1;1; ;3;3;3;2;1;1;,01;6;20;RACIMO;20;FRUTA FRESCA;1;0; ; ; ; ; ; ;20; ; ; ; ; ;2; ;SI;1; ; ; ; ; ;100;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;1; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,181818181818182;0;,99; ; ; ; ; ;,99;3;1; ; ; ;1; ; ;1; ; ;SOLO;52,3184034063943
08016802038760002;ESMERALDAS;02;03876;0002;2;PLÁTANO;2;2;1;5;4;4;1;1;1;,08;6;32;RACIMO;28;FRUTA FRESCA;7;32;RACIMO;28;FRUTA FRESCA;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,407272727272727;,407272727272727;,92; ; ; ; ; ;,92;5;1; ; ;1; ; ; ; ; ; ;ASOCIADO;171,749328941883
08016802038760003;ESMERALDAS;02;03876;0003;1;PLÁTANO;1;1; ;2;4;4;1;,5;,5;,48;6;300;RACIMO;100;FRUTA FRESCA;7;250;RACIMO;100;FRUTA FRESCA;100; ;2;50; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;13,6363636363636;11,3636363636364;,02; ; ; ; ; ;,02;2;,5; ; ;,5; ; ; ; ; ; ;SOLO;219,346659990254
08065102044460005;ESMERALDAS;02;04446;0005;1;PLÁTANO;1;2;1;7;3;3;1;1,9;1,9;,18;6;200;RACIMO;30;FRUTA FRESCA;2;150;RACIMO;30;FRUTA FRESCA;100; ;2;50; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;50;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;,11;LITRO;AZUL; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;2,72727272727273;2,04545454545455;1,72; ; ; ; ; ;1,72;7;1,9; ; ;1,9; ; ; ; ;1,9;1,9;ASOCIADO;85,4037930778153
08065102044460012;ESMERALDAS;02;04446;0012;2;PLÁTANO;1;2;1;7;3;3;1;2;2;,27;6;300;RACIMO;25;FRUTA FRESCA;1;270;RACIMO;25;FRUTA FRESCA;100; ;2;30; ; ; ; ; ;2; ;SI;2; ; ; ; ; ;100;SI;SI; ; ; ; ;12;LITRO;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3,40909090909091;3,06818181818182;1,73; ; ; ; ; ;1,73;7;2; ; ;2; ; ; ;2;2; ;ASOCIADO;41,449670663078
08065102044460013;ESMERALDAS;02;04446;0013;2;PLÁTANO;2;1; ;7;3;3;1;,5;,5;,5; ;70;RACIMO;25;FRUTA FRESCA;2;68;RACIMO;25;FRUTA FRESCA;100; ;2;2; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;,07;LITRO;AZUL; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,795454545454545;,772727272727273; ; ; ; ; ; ; ;7;,5; ; ;,5; ; ; ; ; ;,5;SOLO;93,9865328052832
08016302044960001;ESMERALDAS;02;04496;0001;1;PLÁTANO;1;1; ;5;3;3;1;2;2;2; ;1000;RACIMO;25;FRUTA FRESCA;7;950;RACIMO;25;FRUTA FRESCA;100; ;2;50; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;11,3636363636364;10,7954545454545; ; ; ; ; ; ; ;5;2; ; ;2; ; ; ; ; ; ;SOLO;65,7059817990797
08016302044960002;ESMERALDAS;02;04496;0002;1;PLÁTANO;1;1; ;4;3;3;1;,98;,98;,98; ;700;RACIMO;18;FRUTA FRESCA;7;580;RACIMO;18;FRUTA FRESCA;100; ;2;120; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;5,72727272727273;4,74545454545455; ; ; ; ; ; ; ;4;,98; ; ;,98; ; ; ; ; ; ;SOLO;150,35170243917
08016302044960004;ESMERALDAS;02;04496;0004;1;PLÁTANO;1;1; ;6;3;3;1;,5;,5;,5; ;350;RACIMO;20;FRUTA FRESCA;2;330;RACIMO;20;FRUTA FRESCA;100; ;2;20; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3,18181818181818;3; ; ; ; ; ; ; ;6;,5; ; ;,5; ; ; ; ; ; ;SOLO;74,111715487144
08016302044960004;ESMERALDAS;02;04496;0004;3;PLÁTANO;3;2;1;2;3;3;1;2,5;2,5;2,5; ;480;RACIMO;20;FRUTA FRESCA;2;470;RACIMO;20;FRUTA FRESCA;100; ;2;10; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;3;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;4,36363636363636;4,27272727272727; ; ; ; ; ; ; ;2;2,5; ; ;2,5; ; ; ; ; ;2,5;ASOCIADO;31,4810536131782
08016302044960006;ESMERALDAS;02;04496;0006;1;PLÁTANO;1;1; ;5;3;3;1;4;4;4; ;3000;RACIMO;25;FRUTA FRESCA;7;2950;RACIMO;25;FRUTA FRESCA;100; ;2;50; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;34,0909090909091;33,5227272727273; ; ; ; ; ; ; ;5;4; ; ;4; ; ; ; ; ; ;SOLO;3,7799110209395
08065302050890001;ESMERALDAS;02;05089;0001;2;PLÁTANO;2;1; ;2;2;2;2;,25;,25;,25; ;30;RACIMO;20;FRUTA FRESCA;2; ; ; ; ; ; ; ;30; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,272727272727273; ; ; ; ; ; ; ; ;2;,25; ; ; ;,25; ; ; ; ; ;SOLO;38,0523361876219
08065302050890003;ESMERALDAS;02;05089;0003;1;PLÁTANO;1;1; ;5;4;3;2;,75;,75;,75; ;150;RACIMO;30;FRUTA FRESCA;5; ; ; ; ; ; ; ;150; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;2,04545454545455; ; ; ; ; ; ; ; ;5;,75; ; ; ;,75; ; ; ; ; ;SOLO;63,2906166035158
08065302050890006;ESMERALDAS;02;05089;0006;1;PLÁTANO;1;1; ;10;3;3;1;1,3;1,3;,02;6;10;RACIMO;8;FRUTA FRESCA;5; ; ; ; ; ; ; ;10; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,0363636363636364; ;1,28; ; ; ; ; ;1,28;10; ;1,3; ;1,3; ; ; ; ; ;1,3;SOLO;32,2191889137031
08016302051790001;ESMERALDAS;02;05179;0001;1;PLÁTANO;1;1; ;6;3;3;1;,25;,25;,25; ;50;RACIMO;30;FRUTA FRESCA;2;40;RACIMO;30;FRUTA FRESCA;100; ;2;10; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;1,5;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,681818181818182;,545454545454545; ; ; ; ; ; ; ;6;,25; ; ;,25; ; ; ; ; ;,25;SOLO;64,9348189366938
08016302051790005;ESMERALDAS;02;05179;0005;2;PLÁTANO;1;2;1;3;3;3;1;1,5;1,5;1,5; ;800;RACIMO;15;FRUTA FRESCA;1;750;RACIMO;15;FRUTA FRESCA;100; ;2; ; ; ;50; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;5,45454545454545;5,11363636363636; ; ; ; ; ; ; ;3;1,5; ; ;1,5; ; ; ; ; ; ;ASOCIADO;68,951405675046
08016302051790006;ESMERALDAS;02;05179;0006;2;PLÁTANO;2;1; ;3;2;2;1;1,2;1,2;1,2; ;2600;RACIMO;20;FRUTA FRESCA;7;2476;RACIMO;20;FRUTA FRESCA;100; ;2;4; ;100;20; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;4;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;23,6363636363636;22,5090909090909; ; ; ; ; ; ; ;3;1,2; ; ;1,2; ; ; ; ;1,2; ;SOLO;59,1755283508138
08015402058580001;ESMERALDAS;02;05858;0001;1;PLÁTANO;1;1; ;1;4;4;2;,4;,4;,4; ;100;RACIMO;30;FRUTA FRESCA;2;90;RACIMO;30;FRUTA FRESCA;100; ;2;10; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;50;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;,6;LITRO;AZUL;,4;LITRO;AZUL;,4;LITRO;AZUL; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;1,36363636363636;1,22727272727273; ; ; ; ; ; ; ;1;,4; ; ; ;,4; ; ; ;,4;,4;SOLO;84,5090372742366
08015402058580001;ESMERALDAS;02;05858;0001;4;PLÁTANO;4;1; ;5;5;5;2;,79;,79;,79; ;240;RACIMO;30;FRUTA FRESCA;2;200;RACIMO;30;FRUTA FRESCA;100; ;2;40; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;100;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;1,5;LITRO;AZUL;,8;LITRO;AZUL;,8;LITRO;AZUL; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3,27272727272727;2,72727272727273; ; ; ; ; ; ; ;5;,79; ; ; ;,79; ; ; ;,79;,79;SOLO;65,8474175609864
08035302061140005;ESMERALDAS;02;06114;0005;1;PLÁTANO;1;1; ;5;3;3;1;,25;,25;,25; ;208;RACIMO;50;FRUTA FRESCA;3;108;RACIMO;50;FRUTA FRESCA;100; ;1;50; ; ;50; ; ;2; ;NO; ; ; ; ; ; ; ;SI;SI;50;KILOGRAMO; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;4,72727272727273;2,45454545454545; ; ; ; ; ; ; ;5;,25; ; ;,25; ; ; ; ;,25; ;SOLO;68,9869692034585
08015402063430007;ESMERALDAS;02;06343;0007;2;PLÁTANO;2;1; ;3;6;6;2;,5;,5;,5; ;200;RACIMO;40;FRUTA FRESCA;7;195;RACIMO;40;FRUTA FRESCA;100; ;2;5; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3,63636363636364;3,54545454545455; ; ; ; ; ; ; ;3;,5; ; ; ;,5; ; ; ; ; ;SOLO;53,2185190998108
08065002064300003;ESMERALDAS;02;06430;0003;2;PLÁTANO;3;1; ;5;5;5;2;2;2;2; ;800;RACIMO;15;FRUTA FRESCA;5;780;RACIMO;15;FRUTA FRESCA;100; ;2;10; ; ;10; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;5,45454545454545;5,31818181818182; ; ; ; ; ; ; ;5;2; ; ; ;2; ; ; ; ; ;SOLO;9,60889928191029
08065002064300004;ESMERALDAS;02;06430;0004;1;PLÁTANO;1;1; ;25;5;5;1;1;1;1; ;400;RACIMO;20;FRUTA FRESCA;1;350;RACIMO;20;FRUTA FRESCA;100; ;2;50; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3,63636363636364;3,18181818181818; ; ; ; ; ; ; ;25; ; ;1;1; ; ; ; ; ; ;SOLO;27,7261914322471
08065002064300005;ESMERALDAS;02;06430;0005;1;PLÁTANO;2;1; ;20;5;5;1;1;1;1; ;400;RACIMO;25;FRUTA FRESCA;5;300;RACIMO;25;FRUTA FRESCA;100; ;2;100; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;4,54545454545455;3,40909090909091; ; ; ; ; ; ; ;20; ; ;1;1; ; ; ; ; ; ;SOLO;28,5885285472904
08065102066560001;ESMERALDAS;02;06656;0001;2;PLÁTANO;2;1; ;7;4;3;2;1;1;1; ;416;RACIMO;40;FRUTA FRESCA;3;350;RACIMO;40;FRUTA FRESCA;100; ;2;66; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;7,56363636363636;6,36363636363636; ; ; ; ; ; ; ;7;1; ; ; ;1; ; ; ; ; ;SOLO;62,1211232208286
08075202067780004;ESMERALDAS;02;06778;0004;2;PLÁTANO;2;1; ;20;4;4;2;1;1;1; ;400;RACIMO;40;FRUTA FRESCA;7;300;RACIMO;40;FRUTA FRESCA;100; ;2;100; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;7,27272727272727;5,45454545454545; ; ; ; ; ; ; ;20; ; ;1; ;1; ; ; ; ; ;SOLO;76,8219178487084
08075202067780006;ESMERALDAS;02;06778;0006;1;PLÁTANO;1;1; ;10;4;4;1;1;1;1; ;84;RACIMO;25;FRUTA FRESCA;2; ; ; ; ; ; ; ;84; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,954545454545455; ; ; ; ; ; ; ; ;10; ;1; ;1; ; ; ; ; ; ;SOLO;53,9740906672773
08035602075700004;ESMERALDAS;02;07570;0004;2;PLÁTANO;1;2;1;3;6;6;2;3;3;3; ;240;RACIMO;50;FRUTA FRESCA;1;216;RACIMO;50;FRUTA FRESCA;100; ;2;24; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;SI; ; ; ; ;2,25;LITRO;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;1; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;5,45454545454545;4,90909090909091; ; ; ; ; ; ; ;3;3; ; ; ;3; ; ; ;3; ;ASOCIADO;51,8782008410008
08035602075700004;ESMERALDAS;02;07570;0004;4;PLÁTANO;2;2;2;0;6;6;2;2,99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;2,99; ; ; ;2,99; ; ; ; ; ;ASOCIADO;6,82068967694012
08035602075700007;ESMERALDAS;02;07570;0007;2;PLÁTANO;2;1; ;3;4;4;1;,5;,5;,5; ;50;RACIMO;20;FRUTA FRESCA;2; ; ; ; ; ; ; ;50; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,454545454545455; ; ; ; ; ; ; ; ;3;,5; ; ;,5; ; ; ; ; ; ;SOLO;53,928099354475
08015902076160003;ESMERALDAS;02;07616;0003;1;PLÁTANO;1;1; ;20;3;3;1;,5;,5;,5; ;550;RACIMO;25;FRUTA FRESCA;2;150;RACIMO;25;FRUTA FRESCA;100; ;2;395; ; ;5; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;6,25;1,70454545454545; ; ; ; ; ; ; ;20; ; ;,5;,5; ; ; ; ; ; ;SOLO;82,7679375752922
08015902076160003;ESMERALDAS;02;07616;0003;2;PLÁTANO;2;1; ;20;3;3;1;,5;,5;,5; ;550;RACIMO;25;FRUTA FRESCA;2;150;RACIMO;25;FRUTA FRESCA;100; ;2;395; ; ;5; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;6,25;1,70454545454545; ; ; ; ; ; ; ;20; ; ;,5;,5; ; ; ; ; ; ;SOLO;111,873868391609
08035702109990001;ESMERALDAS;02;10999;0001;1;PLÁTANO;1;1; ;0;4;4;1;,75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;,75; ; ;,75; ; ; ; ; ; ;SOLO;19,5528781285231
08035702109990004;ESMERALDAS;02;10999;0004;2;PLÁTANO;2;1; ;0;3;3;2;1,15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;1,15; ; ; ;1,15; ; ; ; ; ;SOLO;30,731338082435
08035702109990006;ESMERALDAS;02;10999;0006;2;PLÁTANO;4;1; ;8;5;5;1;,25;,25;,25; ;100;RACIMO;20;FRUTA FRESCA;3;85;RACIMO;20;FRUTA FRESCA;100; ;2;10; ; ;5; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,909090909090909;,772727272727273; ; ; ; ; ; ; ;8;,25; ; ;,25; ; ; ; ; ; ;SOLO;84,0195583022692
08035702109990006;ESMERALDAS;02;10999;0006;3;PLÁTANO;7;1; ;8;5;5;1;1,75;1,75;1,75; ;700;RACIMO;20;FRUTA FRESCA;3;630;RACIMO;20;FRUTA FRESCA;100; ;2;20; ; ;50; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PLÁTANO (FRUTA FRESCA); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;6,36363636363636;5,72727272727273; ; ; ; ; ; ; ;8;1,75; ; ;1,75; ; ; ; ; ; ;SOLO;49,5208175505055
